"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UKE00105860","NEWTON RIGG, UK","2024-01-01","0.44",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-02","0.53",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-03","0.04",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-04","0.03",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-05","0.03",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-06","0.01",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-07","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-08","0.02",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-09","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-10","0.01",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-11","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-12","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-13","0.01",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-14","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-15","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-16","0.07",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-17","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-18","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-19","0.15",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-20","0.61",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-21","1.22",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-22","0.05",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-23","0.80",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-24","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-25","0.27",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-26","0.02",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-27","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-28","0.20",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-29","0.91",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-30","0.00",,,,
"UKE00105860","NEWTON RIGG, UK","2024-01-31","0.47",,,,
"UKE00107962","YEOVILTON, UK","2024-01-01","0.46",,,"57","44"
"UKE00107962","YEOVILTON, UK","2024-01-02","0.10",,,"52","44"
"UKE00107962","YEOVILTON, UK","2024-01-03","0.14",,,"46","47"
"UKE00107962","YEOVILTON, UK","2024-01-04","0.87",,,"48","39"
"UKE00107962","YEOVILTON, UK","2024-01-05","0.00",,,"46","37"
"UKE00107962","YEOVILTON, UK","2024-01-06","0.00",,,"42","34"
"UKE00107962","YEOVILTON, UK","2024-01-07","0.00",,,"38","34"
"UKE00107962","YEOVILTON, UK","2024-01-08","0.01",,,"37","25"
"UKE00107962","YEOVILTON, UK","2024-01-09","0.00",,,"41","28"
"UKE00107962","YEOVILTON, UK","2024-01-10","0.00",,,"42","31"
"UKE00107962","YEOVILTON, UK","2024-01-11","0.00",,,"42","33"
"UKE00107962","YEOVILTON, UK","2024-01-12","0.00",,,"36","34"
"UKE00107962","YEOVILTON, UK","2024-01-13","0.00",,,"45","35"
"UKE00107962","YEOVILTON, UK","2024-01-14","0.00",,,"40","33"
"UKE00107962","YEOVILTON, UK","2024-01-15","0.00",,,"42","29"
"UKE00107962","YEOVILTON, UK","2024-01-16","0.00",,,"37","21"
"UKE00107962","YEOVILTON, UK","2024-01-17","0.00",,,"40","23"
"UKE00107962","YEOVILTON, UK","2024-01-18","0.00",,,"44","17"
"UKE00107962","YEOVILTON, UK","2024-01-19","0.00",,,"51","18"
"UKE00107962","YEOVILTON, UK","2024-01-20","0.19",,,"56","20"
"UKE00107962","YEOVILTON, UK","2024-01-21","0.40",,,"52","42"
"UKE00107962","YEOVILTON, UK","2024-01-22","0.08",,,"57","46"
"UKE00107962","YEOVILTON, UK","2024-01-23","0.15",,,"53","41"
"UKE00107962","YEOVILTON, UK","2024-01-24","0.00",,,"57","48"
"UKE00107962","YEOVILTON, UK","2024-01-25","0.03",,,"49","40"
"UKE00107962","YEOVILTON, UK","2024-01-26","0.00",,,"49","38"
"UKE00107962","YEOVILTON, UK","2024-01-27","0.00",,,"53","28"
"UKE00107962","YEOVILTON, UK","2024-01-28","0.00",,,"56","34"
"UKE00107962","YEOVILTON, UK","2024-01-29","0.00",,,"47","45"
"UKE00107962","YEOVILTON, UK","2024-01-30","0.00",,,"54","42"
"UKE00107962","YEOVILTON, UK","2024-01-31","0.00",,,"50","37"
"UKE00107962","YEOVILTON, UK","2024-02-01","0.00",,,"54","35"
"UKE00107962","YEOVILTON, UK","2024-02-02","0.02",,,"57","36"
